Date,Open,High,Low,Close
"Sep 14, 2016",1730.91,1742.23,1725.57,1736.68
"Sep 15, 2016",1736.24,1745.97,1735.85,1745.97
"Sep 16, 2016",1745.20,1747.91,1734.17,1734.26
"Sep 19, 2016",1740.57,1761.70,1740.57,1749.78
"Sep 20, 2016",1748.71,1755.59,1741.64,1755.59
"Sep 21, 2016",1755.52,1761.41,1753.22,1758.47
"Sep 22, 2016",1762.09,1776.22,1748.65,1776.22
"Sep 23, 2016",1774.40,1774.40,1748.18,1762.48
"Sep 26, 2016",1756.50,1756.50,1730.04,1740.05
"Sep 27, 2016",1741.68,1743.86,1716.97,1732.81
"Sep 28, 2016",1734.12,1743.40,1728.35,1734.59
"Sep 29, 2016",1730.66,1735.49,1715.78,1730.45
"Sep 30, 2016",1723.24,1732.52,1709.51,1709.51
"Oct 03, 2016",1713.16,1728.59,1711.02,1725.44
"Oct 04, 2016",1728.57,1756.87,1728.57,1754.04
"Oct 05, 2016",1755.28,1769.20,1743.50,1762.23
"Oct 06, 2016",1762.95,1763.83,1750.87,1761.90
"Oct 07, 2016",1762.35,1762.35,1748.30,1751.72
"Oct 10, 2016",1757.71,1769.84,1755.77,1765.95
"Oct 11, 2016",1767.37,1770.34,1754.76,1757.04
"Oct 12, 2016",1753.78,1760.43,1743.75,1760.43
"Oct 13, 2016",1751.92,1751.92,1726.80,1727.55
"Oct 14, 2016",1732.81,1737.65,1719.64,1719.64
"Oct 17, 2016",1717.26,1728.36,1711.92,1714.20
"Oct 18, 2016",1720.14,1731.22,1711.86,1721.21
"Oct 19, 2016",1722.43,1750.44,1720.63,1744.53
"Oct 20, 2016",1751.16,1758.76,1747.85,1748.99
"Oct 21, 2016",1751.18,1760.14,1749.32,1752.25
"Oct 24, 2016",1753.46,1784.95,1753.46,1782.79
"Oct 25, 2016",1782.68,1800.00,1782.68,1785.59
"Oct 26, 2016",1785.14,1790.94,1771.44,1779.73
"Oct 27, 2016",1780.78,1798.42,1779.74,1795.33
"Oct 28, 2016",1795.14,1817.79,1783.82,1817.79
"Oct 31, 2016",1816.88,1831.49,1809.89,1814.66
"Nov 02, 2016",1804.87,1804.87,1759.01,1765.62
"Nov 03, 2016",1764.66,1773.49,1756.86,1767.37
"Nov 04, 2016",1765.48,1766.13,1757.07,1758.22
"Nov 07, 2016",1773.16,1788.47,1755.40,1761.79
"Nov 08, 2016",1767.24,1783.22,1767.24,1783.22
"Nov 09, 2016",1761.64,1790.66,1748.46,1790.66
"Nov 10, 2016",1800.19,1831.76,1796.75,1796.75
"Nov 14, 2016",1794.23,1805.30,1753.86,1753.86
"Nov 15, 2016",1757.25,1767.71,1746.95,1754.02
"Nov 16, 2016",1757.61,1769.29,1750.08,1758.54
"Nov 17, 2016",1761.95,1766.31,1739.73,1742.39
"Nov 18, 2016",1736.82,1741.60,1717.55,1725.74
"Nov 21, 2016",1731.39,1757.81,1731.39,1756.35
"Nov 22, 2016",1765.41,1779.86,1765.41,1775.66
"Nov 23, 2016",1772.69,1796.63,1772.66,1796.63
"Nov 24, 2016",1798.00,1811.99,1795.48,1807.27
"Nov 25, 2016",1810.46,1812.80,1785.16,1796.30
"Nov 28, 2016",1794.64,1796.61,1774.67,1776.30
"Nov 29, 2016",1777.84,1785.08,1771.13,1780.04
"Nov 30, 2016",1783.45,1808.78,1783.06,1798.22
"Dec 01, 2016",1802.89,1802.89,1781.72,1783.94
"Dec 02, 2016",1787.79,1790.90,1777.56,1783.57
"Dec 05, 2016",1788.93,1845.66,1788.93,1845.66
"Dec 06, 2016",1846.82,1878.76,1843.64,1876.56
"Dec 07, 2016",1877.73,1900.64,1874.68,1889.51
"Dec 08, 2016",1898.82,1924.22,1885.42,1921.08
"Dec 09, 2016",1916.66,1918.27,1888.59,1899.76
"Dec 12, 2016",1904.31,1904.52,1875.67,1882.58
"Dec 13, 2016",1886.78,1919.67,1885.20,1919.49
"Dec 14, 2016",1917.77,1935.51,1904.54,1934.87
"Dec 15, 2016",1931.36,1932.39,1909.35,1911.16
"Dec 16, 2016",1913.05,1927.90,1903.57,1918.54
"Dec 19, 2016",1915.46,1929.48,1893.02,1924.67
"Dec 20, 2016",1929.47,1948.40,1929.47,1940.46
"Dec 21, 2016",1941.74,1952.86,1925.43,1927.90
"Dec 22, 2016",1927.70,1944.84,1914.23,1943.73
"Dec 23, 2016",1942.49,1955.42,1927.03,1933.60
"Dec 27, 2016",1933.10,1939.56,1930.21,1936.72
"Dec 28, 2016",1935.38,1945.77,1924.02,1932.75
"Dec 29, 2016",1934.69,1946.32,1931.44,1946.32
"Dec 30, 2016",1948.89,1957.17,1945.23,1947.92
"Jan 02, 2017",1947.54,1963.54,1937.24,1956.72
"Jan 03, 2017",1961.73,1990.40,1961.73,1989.64
"Jan 04, 2017",1991.97,2001.91,1981.29,1999.93
"Jan 05, 2017",1994.72,2007.15,1986.53,1998.76
"Jan 09, 2017",1999.15,2009.19,1991.08,2009.19
"Jan 10, 2017",2007.40,2034.03,2007.40,2023.64
"Jan 11, 2017",2024.89,2033.43,2010.45,2030.64
"Jan 12, 2017",2029.68,2044.59,2015.98,2022.95
"Jan 13, 2017",2023.01,2027.02,2007.24,2015.89
"Jan 16, 2017",2013.32,2033.73,2002.09,2025.25
"Jan 17, 2017",2026.40,2026.40,2012.61,2015.28
"Jan 18, 2017",2018.57,2021.84,2005.65,2005.65
"Jan 19, 2017",2005.60,2020.12,2005.49,2015.47
